date,open,high,low,closed,vol,return,SMA_9,SMA_21,RSI
2018-11-09,85620,86233,84030,85641,12299594782,0.0002452697967765,87085.33333333333,85573.42857142857,52.70069218949372
2018-11-12,85644,86227,85009,85525,8554011592,-0.0013544914235004,87277.33333333333,85661.33333333333,52.31158953041944
2018-11-13,85531,85941,84071,84914,11014984820,-0.0071441099093831,87058.22222222222,85756.23809523809,50.208800839209985
2018-11-14,84898,85973,84267,85973,13681274432,0.012471441693949,86897.0,85880.66666666667,53.68391437083444
2018-11-16,85975,88516,85975,88515,12952742678,0.0295674223302664,86907.66666666667,86013.85714285714,60.76299047214319
2018-11-19,88472,88484,87047,87901,9315290972,-0.0069366773993108,86719.11111111111,86115.61904761905,58.43956258440113
2018-11-21,87896,87896,86254,87269,10252731723,-0.0071899068269986,86563.55555555556,86278.57142857143,56.06325970553515
2018-11-22,87269,87656,87222,87477,5410976156,0.0023834351258751,86537.22222222222,86433.66666666667,56.6874819069727
2018-11-23,87479,87479,85763,86230,10376173282,-0.0142551756461698,86605.0,86463.80952380953,51.92457462648681
2018-11-26,86237,87147,84905,85547,11343795553,-0.0079206772584947,86594.55555555556,86475.57142857143,49.47274707429499
2018-11-27,85547,88018,85377,87891,11990261788,0.0274001426116636,86857.44444444444,86705.42857142857,56.98041091251671
2018-11-28,87891,89483,87153,89251,13099117375,0.0154737117566077,87339.33333333333,86951.47619047618,60.6351295067
2018-11-29,89249,89910,88475,89710,10425943006,0.0051427995204536,87754.55555555556,87141.47619047618,61.81422177477456
2018-11-30,89709,90246,89258,89504,16044229957,-0.0022962880392375,87864.44444444444,87413.23809523809,60.9321084365567
2018-12-03,89511,91242,89429,89820,14806846067,0.0035305684662136,88077.66666666667,87552.95238095238,61.831898285966076
2018-12-04,89820,90452,88041,88624,12415477483,-0.0133155199287463,88228.22222222222,87610.09523809524,56.52556182546728
2018-12-05,88644,89111,88449,89040,6604964156,0.0046939880844918,88401.88888888889,87639.66666666667,57.87957165617887
2018-12-06,88933,88933,87025,88846,10698387302,-0.0021787960467205,88692.55555555556,87603.85714285714,56.98818577018689
2018-12-07,88849,89986,87907,88115,11132388260,-0.0082277198748396,88977.88888888889,87577.47619047618,53.63622462225792
2018-12-10,88115,88384,85915,85915,9559115150,-0.0249673721840776,88758.33333333333,87491.80952380953,45.04839442301594
2018-12-11,85918,87520,85583,86420,10589358374,0.0058779025781294,88443.77777777778,87529.90476190476,47.140583792155155
2018-12-12,86420,87946,86420,86977,10472894230,0.0064452672992363,88140.11111111111,87593.52380952382,49.427667649857
