date,open,high,low,closed,vol,return
2020-01-21,118861,118861,117026,117026,16111030115,-0.01544648415809935
2020-01-22,117035,118401,117035,118391,15562061015,0.011664074650077794
2020-01-23,118391,119535,116906,119528,19352926685,0.00960377055688344
2020-01-24,119528,119593,118108,118376,13942723490,-0.009637909109162734
2020-01-27,118347,118347,114376,114482,17627794836,-0.03289518145570047
2020-01-28,114482,116797,114475,116479,14835798423,0.01744379029017673
2020-01-29,116494,117171,115164,115385,0,-0.009392250963693005
2020-01-30,115375,115528,112825,115528,12408710611,0.001239329202235906
2020-01-31,115518,115518,113148,113761,18345985053,-0.015294993421508196
2020-02-03,113761,115299,113467,114629,16360175525,0.007630031381580693
2020-02-04,114631,116556,114631,115557,17502115064,0.00809568259340998
2020-02-05,115563,117701,115562,116028,21741157334,0.004075910589579124
2020-02-06,116033,117382,114723,115190,21646347559,-0.00722239459440821
2020-02-07,115190,115190,113769,113770,18768796433,-0.012327458980814332
2020-02-10,113771,114176,112134,112570,0,-0.010547596027072115
2020-02-11,112574,115576,112574,115371,20491974715,0.024882295460602277
2020-02-12,115371,117581,115371,116674,23971859338,0.01129399935859099
2020-02-13,116660,116660,114801,115662,16378108478,-0.008673740507739502
2020-02-14,115663,115663,114132,114381,14792845941,-0.01107537479898324
2020-02-17,114381,115696,114381,115309,13175004948,0.008113235589827017
2020-02-18,115309,115309,113532,114977,15307607073,-0.0028792201822928076
2020-02-19,114982,116545,114774,116518,17859884455,0.013402680536107159
2020-02-20,116518,116552,114379,114586,19669994401,-0.016581129095933678
2020-02-21,114585,114585,112661,113681,16767291697,-0.007897998010228169
2020-02-26,113647,113647,105053,105718,18537128688,-0.07004688558334282
2020-02-27,105711,106656,102984,102984,0,-0.025861253523524863
2020-02-28,102984,104172,99951,104172,14003807977,0.011535772547191847
2020-03-02,104260,107220,103779,106625,19339079648,0.023547594363168667
2020-03-03,106630,108804,104405,105537,18806816681,-0.010203985932004667
2020-03-04,105540,107809,105042,107224,16780986443,0.01598491524299539
2020-03-05,107217,107217,100536,102233,18011656932,-0.04654741475789004
2020-03-06,102231,102231,96886,97997,24646793993,-0.04143476176968297
